date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:16	1437/1437	---M--	200	added ('OK')	image/png	etag:%2259d-4e58c36c67300%22	http://www.pm-shipping.com/gfx/icon_2.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/icon_2.png	(from http://www.pm-shipping.com/)
11:51:16	1340/1340	---M--	200	added ('OK')	image/png	etag:%2253c-4e58c75c6fd40%22	http://www.pm-shipping.com/gfx/icon_3.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/icon_3.png	(from http://www.pm-shipping.com/)
11:51:16	9906/9906	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:16%20GMT	http://www.pm-shipping.com/enquiry.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/enquiry.html	(from http://www.pm-shipping.com/)
11:51:16	1603/1603	---M--	200	added ('OK')	image/png	etag:%22643-4e58c73b0ee80%22	http://www.pm-shipping.com/gfx/icon_4.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/icon_4.png	(from http://www.pm-shipping.com/)
11:51:17	700/700	---M--	200	added ('OK')	image/png	etag:%222bc-4f07730e60cc0%22	http://www.pm-shipping.com/gfx/icon_5.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/icon_5.png	(from http://www.pm-shipping.com/)
11:51:17	3062/3062	---M--	200	added ('OK')	image/png	etag:%22bf6-4e950e581ff00%22	http://www.pm-shipping.com/gfx/tuev.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/tuev.png	(from http://www.pm-shipping.com/)
11:51:17	2076/2076	---M--	200	added ('OK')	image/png	etag:%2281c-4e9ca1633c600%22	http://www.pm-shipping.com/gfx/bsk.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/bsk.png	(from http://www.pm-shipping.com/)
11:51:17	2006/2006	---M--	200	added ('OK')	image/png	etag:%227d6-4e9ca18591700%22	http://www.pm-shipping.com/gfx/ihksh.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/ihksh.png	(from http://www.pm-shipping.com/)
11:51:17	3119/3119	---M--	200	added ('OK')	image/png	etag:%22c2f-4e950e5afc5c0%22	http://www.pm-shipping.com/gfx/fiata.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/fiata.png	(from http://www.pm-shipping.com/)
11:51:18	3844/3844	---M--	200	added ('OK')	image/png	etag:%22f04-4e950e5dd8c80%22	http://www.pm-shipping.com/gfx/dslv.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/dslv.png	(from http://www.pm-shipping.com/)
11:51:18	8674/8674	---M--	200	added ('OK')	image/png	etag:%2221e2-526122ebda2c0%22	http://www.pm-shipping.com/gfx/bwe.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/bwe.png	(from http://www.pm-shipping.com/)
11:51:20	11707/11707	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:20%20GMT	http://www.pm-shipping.com/logistics/legal-notice.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/legal-notice.html	(from http://www.pm-shipping.com/)
11:51:20	7896/7896	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:20%20GMT	http://www.pm-shipping.com/logistics/general-terms-and-conditions.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/general-terms-and-conditions.html	(from http://www.pm-shipping.com/)
11:51:20	11450/11450	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:20%20GMT	http://www.pm-shipping.com/sitemap.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/sitemap.html	(from http://www.pm-shipping.com/)
11:51:21	286/286	---M--	302	error ('Found')	text/html	date:Thu,%2029%20Jun%202017%2018:51:21%20GMT	http://www.pm-shipping.com/javascript;	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/javascript;	(from http://www.pm-shipping.com/)
11:51:21	1719/1719	---M--	200	added ('OK')	image/png	etag:%226b7-4e8ff50b227c0%22	http://www.pm-shipping.com/gfx/icon_de.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/icon_de.png	(from http://www.pm-shipping.com/)
11:51:21	1756/1756	---M--	200	added ('OK')	image/png	etag:%226dc-4e58c3dde3ec0%22	http://www.pm-shipping.com/gfx/icon_ru.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/icon_ru.png	(from http://www.pm-shipping.com/)
11:51:21	5614/5614	---M--	200	added ('OK')	image/png	etag:%2215ee-4e5a01dd6ff40%22	http://www.pm-shipping.com/gfx/sm0m.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/sm0m.png	(from http://www.pm-shipping.com/)
11:51:21	4859/4859	---M--	200	added ('OK')	image/png	etag:%2212fb-4e5a03543b380%22	http://www.pm-shipping.com/gfx/sm1m.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/sm1m.png	(from http://www.pm-shipping.com/)
11:51:22	4838/4838	---M--	200	added ('OK')	image/png	etag:%2212e6-4e5a03810dd40%22	http://www.pm-shipping.com/gfx/sm2m.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/sm2m.png	(from http://www.pm-shipping.com/)
11:51:22	4847/4847	---M--	200	added ('OK')	image/png	etag:%2212ef-4e5a03a54b2c0%22	http://www.pm-shipping.com/gfx/sm3m.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/sm3m.png	(from http://www.pm-shipping.com/)
11:51:22	4773/4773	---M--	200	added ('OK')	image/png	etag:%2212a5-4e5a05a93b400%22	http://www.pm-shipping.com/gfx/sm4m.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/sm4m.png	(from http://www.pm-shipping.com/)
